CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1013	1273	-98.984	0.000	0.7004	0.5308	1
1014	1015	30.083	0.000	0.7892	0.6083	1
1014	1059	29.974	0.000	0.7740	0.6397	1
1014	1065	30.083	0.000	0.7627	0.6397	1
1014	1513	30.084	0.000	0.7965	0.6395	1
1014	1552	-1.943	0.000	0.7363	0.6053	1
1014	1563	39.036	0.000	0.7774	0.6373	1
1015	1513	0.000	0.000	0.9637	0.8416	1
1017	1077	-44.027	0.000	0.9134	0.7985	1
1017	1127	-74.073	0.000	0.8004	0.7011	1
1017	1168	-88.052	0.000	0.9271	0.7944	1
1017	1207	-118.099	0.000	0.8050	0.6834	1
1017	1241	-132.079	0.000	0.8193	0.6954	1
1017	1245	-131.120	0.000	0.7676	0.7482	1
1017	1279	-162.125	0.000	0.7945	0.7290	1
1017	1322	-176.104	0.000	0.7888	0.6832	1
1017	1353	-206.152	0.000	0.7825	0.7040	1
1017	1362	-260.127	0.000	0.7273	0.5277	1
1017	1383	-220.132	0.000	0.8992	0.7739	1
1017	1408	-250.178	0.000	0.7761	0.6660	1
1017	1443	-264.157	0.000	0.8898	0.7361	1
1017	1459	-294.205	0.000	0.7619	0.6496	1
1017	1544	-369.236	0.000	0.7503	0.5478	1
1017	1587	-413.262	0.000	0.7891	0.5774	1
1019	1040	223.106	0.000	0.7060	0.5468	1
1019	1041	206.079	0.000	0.7133	0.5480	1
1019	1069	-44.026	0.000	0.9182	0.6386	1
1019	1094	179.080	0.000	0.7104	0.5943	1
1019	1095	162.053	0.000	0.7269	0.6100	1
1019	1120	-88.052	0.000	0.9240	0.6858	1
1019	1175	118.027	0.000	0.7707	0.6651	1
1019	1238	74.001	0.000	0.7396	0.6538	1
1019	1308	29.974	0.000	0.7203	0.6225	1
1019	1426	-58.078	0.000	0.7192	0.5681	1
1019	3036	-6.136	0.000	0.9211	0.7355	1
1019	3081	-6.136	0.000	0.7236	0.5040	1
1019	3173	-20.152	0.000	0.9074	0.7049	1
1019	3221	-20.892	0.000	0.7353	0.4292	1
1019	3258	-34.172	0.000	0.9188	0.7061	1
1019	3271	-34.167	0.000	0.9339	0.7561	1
1019	3303	-20.875	0.000	0.7607	0.4952	1
1019	3762	-20.167	0.000	0.7170	0.4946	1
1020	1022	17.026	0.000	0.9109	0.8254	1
1020	1048	-13.979	0.000	0.7636	0.6718	1
1020	1074	-44.026	0.000	0.8354	0.6730	1
1020	1075	-27.000	0.000	0.9053	0.8192	1
1020	1104	-58.005	0.000	0.7794	0.6735	1
1020	1145	-71.026	0.000	0.8789	0.7695	1
1020	1146	-88.052	0.000	0.8630	0.6622	1
1020	1175	-48.057	0.000	0.7036	0.5423	1
1020	1191	-102.032	0.000	0.7330	0.5967	1
1020	1216	-115.052	0.000	0.8505	0.6820	1
1020	1217	-116.011	0.000	0.8407	0.6853	1
1020	1218	-132.078	0.000	0.8272	0.5874	1
1020	1238	-92.083	0.000	0.7016	0.5051	1
1020	1254	-146.058	0.000	0.7386	0.6351	1
1020	1283	-159.079	0.000	0.8338	0.7083	1
1020	1284	-176.105	0.000	0.8972	0.7945	1
1020	1299	-160.038	0.000	0.7643	0.6194	1
1020	1302	-132.079	0.000	0.8623	0.7517	1
1020	1351	-220.131	0.000	0.8935	0.7891	1
1020	1352	-220.132	0.000	0.7323	0.6080	1
1020	1355	-237.157	0.000	0.7207	0.5744	1
1020	1361	-176.105	0.000	0.8826	0.7987	1
1020	1364	19.997	0.000	0.7104	0.5714	1
1020	1384	-234.111	0.000	0.7061	0.5874	1
1020	1403	103.555	0.000	0.7395	0.5920	1
1020	1404	95.043	0.000	0.7577	0.5523	1
1020	1405	-264.157	0.000	0.8766	0.7511	1
1020	1445	81.543	0.000	0.7534	0.5576	1
1020	1447	73.030	0.000	0.7523	0.5889	1
1020	1449	-24.028	0.000	0.7077	0.5914	1
1020	1455	-308.183	0.000	0.8378	0.7086	1
1020	1486	-46.042	0.000	0.7025	0.5805	1
1020	1500	51.016	0.000	0.7601	0.5704	1
1020	1501	-352.210	0.000	0.8853	0.7516	1
1020	1502	59.529	0.000	0.7504	0.5621	1
1020	1522	-68.054	0.000	0.7016	0.5034	1
1020	1532	37.516	0.000	0.7396	0.5348	1
1020	1533	29.003	0.000	0.7507	0.5288	1
1020	1534	-396.235	0.000	0.8821	0.7510	1
1020	1578	15.503	0.000	0.7378	0.5506	1
1020	1579	6.990	0.000	0.7460	0.5332	1
1020	1581	-440.262	0.000	0.8064	0.6186	1
1020	1582	-112.081	0.000	0.7046	0.5196	1
1020	1597	-117.067	0.000	0.7233	0.6011	1
1020	1606	-15.023	0.000	0.7252	0.4966	1
1022	1048	-31.006	0.000	0.7021	0.5430	1
1022	1074	-61.053	0.000	0.8777	0.7628	1
1022	1075	-44.026	0.000	0.9682	0.8976	1
1022	1094	-4.031	0.000	0.7187	0.5765	1
1022	1104	-75.032	0.000	0.7451	0.5945	1
1022	1145	-88.052	0.000	0.9457	0.8580	1
1022	1146	-105.078	0.000	0.8610	0.6848	1
1022	1216	-132.079	0.000	0.9239	0.7874	1
1022	1217	-133.038	0.000	0.8623	0.6886	1
1022	1218	-149.105	0.000	0.8250	0.5962	1
1022	1254	-163.085	0.000	0.7332	0.5801	1
1022	1283	-176.105	0.000	0.8995	0.7994	1
1022	1284	-193.131	0.000	0.8999	0.7881	1
1022	1299	-177.064	0.000	0.8071	0.6660	1
1022	1302	-149.105	0.000	0.8767	0.7616	1
1022	1321	-404.274	0.000	0.7114	0.5319	1
1022	1350	-492.327	0.000	0.7089	0.5611	1
1022	1351	-237.157	0.000	0.8860	0.7697	1
1022	1352	-237.158	0.000	0.7005	0.5183	1
1022	1355	-254.184	0.000	0.7003	0.4940	1
1022	1361	-193.132	0.000	0.8779	0.7837	1
1022	1364	2.971	0.000	0.7371	0.5796	1
1022	1365	-431.274	0.000	0.7195	0.5551	1
1022	1384	-251.137	0.000	0.7274	0.5841	1
1022	1403	86.529	0.000	0.7146	0.5096	1
1022	1404	78.016	0.000	0.7227	0.4571	1
1022	1405	-281.183	0.000	0.8789	0.7293	1
1022	1410	-19.042	0.000	0.7198	0.5165	1
1022	1445	64.516	0.000	0.7325	0.4917	1
1022	1447	56.003	0.000	0.7239	0.5061	1
1022	1449	-41.055	0.000	0.7295	0.5922	1
1022	1455	-325.210	0.000	0.8471	0.7086	1
1022	1460	-85.081	0.000	0.7053	0.5384	1
1022	1485	-54.555	0.000	0.7163	0.5202	1
1022	1486	-63.068	0.000	0.7272	0.6054	1
1022	1500	33.990	0.000	0.7487	0.4959	1
1022	1501	-369.237	0.000	0.8796	0.7190	1
1022	1502	42.503	0.000	0.7254	0.4936	1
1022	1504	-107.094	0.000	0.7079	0.5567	1
1022	1532	20.490	0.000	0.7430	0.4838	1
1022	1533	11.976	0.000	0.7471	0.4970	1
1022	1534	-413.262	0.000	0.8705	0.7040	1
1022	1547	-90.067	0.000	0.7105	0.4769	1
1022	1578	-1.524	0.000	0.7317	0.4918	1
1022	1579	-10.037	0.000	0.7395	0.4850	1
1022	1581	-457.288	0.000	0.7965	0.5977	1
1022	1597	-134.093	0.000	0.7571	0.6156	1
1022	1606	-32.050	0.000	0.7192	0.4537	1
1023	1047	1.979	0.000	0.7656	0.6807	1
1023	1263	1.979	0.000	0.7118	0.6735	1
1023	1475	-22.020	0.000	0.8589	0.6247	1
1026	1049	23.016	0.000	0.8272	0.7075	1
